Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Zechariah 10:6	And I will strengthen the house of Judah, and I will save the house of Joseph, and I will bring them again to place them; for I have mercy on them: and they shall be as though I had not cast them off: for I am the LORD their God, and will hear them.
Job 22:1	Then Eliphaz the Temanite answered and said,
Micah 3:12	Therefore shall Zion for your sake be plowed as a field, and Jerusalem shall become heaps, and the mountain of the house as the high places of the forest.
Jeremiah 4:20	Destruction on destruction is cried; for the whole land is spoiled: suddenly are my tents spoiled, and my curtains in a moment.
2 Chronicles 14:2	And Asa did that which was good and right in the eyes of the LORD his God:
Esther 3:12	Then were the king’s scribes called on the thirteenth day of the first month, and there was written according to all that Haman had commanded to the king’s lieutenants, and to the governors that were over every province, and to the rulers of every people of every province according to the writing thereof, and to every people after their language; in the name of king Ahasuerus was it written, and sealed with the king’s ring.
Psalm 56:3	What time I am afraid, I will trust in you.
Genesis 19:32	Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father.
2 Samuel 3:29	Let it rest on the head of Joab, and on all his father’s house; and let there not fail from the house of Joab one that has an issue, or that is a leper, or that leans on a staff, or that falls on the sword, or that lacks bread.
Joshua 4:1	And it came to pass, when all the people were clean passed over Jordan, that the LORD spoke to Joshua, saying,
2 Samuel 5:25	And David did so, as the LORD had commanded him; and smote the Philistines from Geba until you come to Gazer.
Genesis 9:9	And I, behold, I establish my covenant with you, and with your seed after you;
Matthew 13:37	He answered and said to them, He that sows the good seed is the Son of man;
Job 12:15	Behold, he withholds the waters, and they dry up: also he sends them out, and they overturn the earth.
2 Timothy 4:12	And Tychicus have I sent to Ephesus.
Ruth 2:9	Let your eyes be on the field that they do reap, and go you after them: have I not charged the young men that they shall not touch you? and when you are thirsty, go to the vessels, and drink of that which the young men have drawn.
Proverbs 15:15	All the days of the afflicted are evil: but he that is of a merry heart has a continual feast.
Proverbs 24:13	My son, eat you honey, because it is good; and the honeycomb, which is sweet to your taste:
Joshua 6:6	And Joshua the son of Nun called the priests, and said to them, Take up the ark of the covenant, and let seven priests bear seven trumpets of rams’ horns before the ark of the LORD.
Exodus 22:17	If her father utterly refuse to give her to him, he shall pay money according to the dowry of virgins.
Luke 9:14	For they were about five thousand men. And he said to his disciples, Make them sit down by fifties in a company.
1 Samuel 8:17	He will take the tenth of your sheep: and you shall be his servants.
Numbers 35:25	And the congregation shall deliver the slayer out of the hand of the revenger of blood, and the congregation shall restore him to the city of his refuge, where he was fled: and he shall abide in it to the death of the high priest, which was anointed with the holy oil.
1 Kings 11:7	Then did Solomon build an high place for Chemosh, the abomination of Moab, in the hill that is before Jerusalem, and for Molech, the abomination of the children of Ammon.
2 Chronicles 20:24	And when Judah came toward the watch tower in the wilderness, they looked to the multitude, and, behold, they were dead bodies fallen to the earth, and none escaped.
Song of Solomon 2:14	O my dove, that are in the clefts of the rock, in the secret places of the stairs, let me see your countenance, let me hear your voice; for sweet is your voice, and your countenance is comely.
Titus 3:12	When I shall send Artemas to you, or Tychicus, be diligent to come to me to Nicopolis: for I have determined there to winter.
Haggai 1:3	Then came the word of the LORD by Haggai the prophet, saying,
1 Kings 18:40	And Elijah said to them, Take the prophets of Baal; let not one of them escape. And they took them: and Elijah brought them down to the brook Kishon, and slew them there.
Genesis 30:30	For it was little which you had before I came, and it is now increased to a multitude; and the LORD has blessed you since my coming: and now when shall I provide for my own house also?
Isaiah 30:28	And his breath, as an overflowing stream, shall reach to the middle of the neck, to sift the nations with the sieve of vanity: and there shall be a bridle in the jaws of the people, causing them to err.
1 John 2:21	I have not written to you because you know not the truth, but because you know it, and that no lie is of the truth.
Deuteronomy 27:18	Cursed be he that makes the blind to wander out of the way. And all the people shall say, Amen.
Ephesians 5:27	That he might present it to himself a glorious church, not having spot, or wrinkle, or any such thing; but that it should be holy and without blemish.
Proverbs 6:32	But whoever commits adultery with a woman lacks understanding: he that does it destroys his own soul.
Psalm 119:69	The proud have forged a lie against me: but I will keep your precepts with my whole heart.
Hosea 14:6	His branches shall spread, and his beauty shall be as the olive tree, and his smell as Lebanon.
2 Kings 4:15	And he said, Call her. And when he had called her, she stood in the door.
Acts 11:30	Which also they did, and sent it to the elders by the hands of Barnabas and Saul.
Nehemiah 7:54	The children of Bazlith, the children of Mehida, the children of Harsha,
2 Chronicles 35:10	So the service was prepared, and the priests stood in their place, and the Levites in their courses, according to the king’s commandment.
John 3:5	Jesus answered, Truly, truly, I say to you, Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God.
2 Samuel 19:23	Therefore the king said to Shimei, You shall not die. And the king swore to him.
Revelation 16:11	And blasphemed the God of heaven because of their pains and their sores, and repented not of their deeds.
Matthew 4:12	Now when Jesus had heard that John was cast into prison, he departed into Galilee;
Ephesians 4:14	That we from now on be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;
Ezekiel 42:9	And from under these chambers was the entry on the east side, as one goes into them from the utter court.
Numbers 26:9	And the sons of Eliab; Nemuel, and Dathan, and Abiram. This is that Dathan and Abiram, which were famous in the congregation, who strove against Moses and against Aaron in the company of Korah, when they strove against the LORD:
